fake_data,real_data,dates,,Grand Total
10/20/10,4-Sep-10,20-Oct-10,Woensdag,3675
10/21/10,5-Sep-10,21-Oct-10,Donderdag,3591
10/22/10,6-Sep-10,22-Oct-10,Vrijdag,4131
10/24/10,7-Sep-10,24-Oct-10,Zondag,2782
10/25/10,8-Sep-10,25-Oct-10,Maandag,3793
10/26/10,9-Sep-10,26-Oct-10,Dinsdag,4026
10/27/10,10-Sep-10,27-Oct-10,Woensdag,4266
10/28/10,11-Sep-10,28-Oct-10,Donderdag,4792
10/29/10,12-Sep-10,29-Oct-10,Vrijdag,4581
10/31/10,13-Sep-10,31-Oct-10,Zondag,3365
11/01/10,14-Sep-10,1-Nov-10,Maandag,4627
11/02/10,15-Sep-10,2-Nov-10,Dinsdag,4353
11/03/10,16-Sep-10,3-Nov-10,Woensdag,4324
11/04/10,17-Sep-10,4-Nov-10,Donderdag,3931
11/05/10,18-Sep-10,5-Nov-10,Vrijdag,4846
11/07/10,19-Sep-10,7-Nov-10,Zondag,2863
11/08/10,20-Sep-10,8-Nov-10,Maandag,4544
11/09/10,21-Sep-10,9-Nov-10,Dinsdag,4575
11/10/10,22-Sep-10,10-Nov-10,Woensdag,4420
11/11/10,23-Sep-10,11-Nov-10,Donderdag,3920
11/12/10,24-Sep-10,12-Nov-10,Vrijdag,5814
11/14/10,25-Sep-10,14-Nov-10,Zondag,3835
11/15/10,26-Sep-10,15-Nov-10,Maandag,3483
11/16/10,27-Sep-10,16-Nov-10,Dinsdag,3556
11/17/10,28-Sep-10,17-Nov-10,Woensdag,4194
11/18/10,29-Sep-10,18-Nov-10,Donderdag,4632
11/19/10,30-Sep-10,19-Nov-10,Vrijdag,4254
11/21/10,1-Oct-10,21-Nov-10,Zondag,2695
11/22/10,2-Oct-10,22-Nov-10,Maandag,4717
11/23/10,3-Oct-10,23-Nov-10,Dinsdag,4669
11/24/10,4-Oct-10,24-Nov-10,Woensdag,3237
11/25/10,5-Oct-10,25-Nov-10,Donderdag,3043
11/26/10,6-Oct-10,26-Nov-10,Vrijdag,3953
11/28/10,7-Oct-10,28-Nov-10,Zondag,3073
11/29/10,8-Oct-10,29-Nov-10,Maandag,4680
11/30/10,9-Oct-10,30-Nov-10,Dinsdag,7275
12/01/10,10-Oct-10,1-Dec-10,Woensdag,5037
12/02/10,11-Oct-10,2-Dec-10,Donderdag,4385
12/03/10,12-Oct-10,3-Dec-10,Vrijdag,5946
12/05/10,13-Oct-10,5-Dec-10,Zondag,4940
12/06/10,14-Oct-10,6-Dec-10,Maandag,6173
12/07/10,15-Oct-10,7-Dec-10,Dinsdag,7311
12/08/10,16-Oct-10,8-Dec-10,Woensdag,6859
12/09/10,17-Oct-10,9-Dec-10,Donderdag,6757
12/10/10,18-Oct-10,10-Dec-10,Vrijdag,8858
12/12/10,19-Oct-10,12-Dec-10,Zondag,10886
12/13/10,20-Oct-10,13-Dec-10,Maandag,12523
12/14/10,21-Oct-10,14-Dec-10,Dinsdag,11975
12/15/10,22-Oct-10,15-Dec-10,Woensdag,14078
12/16/10,23-Oct-10,16-Dec-10,Donderdag,14814
12/17/10,24-Oct-10,17-Dec-10,Vrijdag,17856
12/19/10,25-Oct-10,19-Dec-10,Zondag,25256
12/20/10,26-Oct-10,20-Dec-10,Maandag,23361
12/21/10,27-Oct-10,21-Dec-10,Dinsdag,20453
12/22/10,28-Oct-10,22-Dec-10,Woensdag,20008
12/23/10,29-Oct-10,23-Dec-10,Donderdag,13907
12/24/10,30-Oct-10,24-Dec-10,Vrijdag,5807
12/26/10,31-Oct-10,26-Dec-10,Zondag,1
12/27/10,1-Nov-10,27-Dec-10,Maandag,6349
12/28/10,2-Nov-10,28-Dec-10,Dinsdag,7614
12/29/10,3-Nov-10,29-Dec-10,Woensdag,8389
12/30/10,4-Nov-10,30-Dec-10,Donderdag,6849
12/31/10,5-Nov-10,31-Dec-10,Vrijdag,3223
01/02/11,6-Nov-10,2-Jan-11,Zondag,4418
01/03/11,7-Nov-10,3-Jan-11,Maandag,4933
01/04/11,8-Nov-10,4-Jan-11,Dinsdag,4720
01/05/11,9-Nov-10,5-Jan-11,Woensdag,4329
01/06/11,10-Nov-10,6-Jan-11,Donderdag,5323
01/07/11,11-Nov-10,7-Jan-11,Vrijdag,4603
01/09/11,12-Nov-10,9-Jan-11,Zondag,3137
01/10/11,13-Nov-10,10-Jan-11,Maandag,4643
01/11/11,14-Nov-10,11-Jan-11,Dinsdag,4487
01/12/11,15-Nov-10,12-Jan-11,Woensdag,4382
01/13/11,16-Nov-10,13-Jan-11,Donderdag,4075
01/14/11,17-Nov-10,14-Jan-11,Vrijdag,4809
01/16/11,18-Nov-10,16-Jan-11,Zondag,3120
01/17/11,19-Nov-10,17-Jan-11,Maandag,4261
01/18/11,20-Nov-10,18-Jan-11,Dinsdag,4272
01/19/11,21-Nov-10,19-Jan-11,Woensdag,3889
01/20/11,22-Nov-10,20-Jan-11,Donderdag,4085
01/21/11,23-Nov-10,21-Jan-11,Vrijdag,4975
01/23/11,24-Nov-10,23-Jan-11,Zondag,3430
01/24/11,25-Nov-10,24-Jan-11,Maandag,4551
01/25/11,26-Nov-10,25-Jan-11,Dinsdag,4761
01/26/11,27-Nov-10,26-Jan-11,Woensdag,4146
01/27/11,28-Nov-10,27-Jan-11,Donderdag,4252
01/28/11,29-Nov-10,28-Jan-11,Vrijdag,4461
01/30/11,30-Nov-10,30-Jan-11,Zondag,2989
01/31/11,1-Dec-10,31-Jan-11,Maandag,5468
02/01/11,2-Dec-10,1-Feb-11,Dinsdag,4927
02/02/11,3-Dec-10,2-Feb-11,Woensdag,4049
02/03/11,4-Dec-10,3-Feb-11,Donderdag,4556
02/04/11,5-Dec-10,4-Feb-11,Vrijdag,5821
02/06/11,6-Dec-10,6-Feb-11,Zondag,3349
02/07/11,7-Dec-10,7-Feb-11,Maandag,5055
02/08/11,8-Dec-10,8-Feb-11,Dinsdag,4857
02/09/11,9-Dec-10,9-Feb-11,Woensdag,5498
02/10/11,10-Dec-10,10-Feb-11,Donderdag,6793
02/11/11,11-Dec-10,11-Feb-11,Vrijdag,12599
02/13/11,12-Dec-10,13-Feb-11,Zondag,18243
02/14/11,13-Dec-10,14-Feb-11,Maandag,7254
02/15/11,14-Dec-10,15-Feb-11,Dinsdag,5432
02/16/11,15-Dec-10,16-Feb-11,Woensdag,5002
02/17/11,16-Dec-10,17-Feb-11,Donderdag,5150
02/18/11,17-Dec-10,18-Feb-11,Vrijdag,5638
02/20/11,18-Dec-10,20-Feb-11,Zondag,3808
02/21/11,19-Dec-10,21-Feb-11,Maandag,4927
02/22/11,20-Dec-10,22-Feb-11,Dinsdag,7668
