Date,Target,Weekday,Avg temp,Sunshine_minutes,Rain_minutes,Voucher orders,Traffic,SEA Cost,SEA Clicks,Emails accepted,Emails open,Spc dag pos aanloop,Spc dag pos,Spc dag neg
04-02-14,18195,dinsdag,6,210,0,13465,48428,4185.46,11142,1064428,280584,,,
05-02-14,18636,woensdag,7,270,258,12834,35264,3796.83,10821,,,,,
06-02-14,18254,donderdag,8,192,360,12341,32540,3899.79,10940,,,,,
07-02-14,23355,vrijdag,8,0,666,11880,31919,4373.13,11180,100119,31289,,,
08-02-14,1,zaterdag,7,18,438,7830,28030,3984.16,10712,,,,,
09-02-14,3588,zondag,6,36,120,14379,49254,5281.54,15001,1014579,254606,Valentijnsdag,,
10-02-14,36145,maandag,5,48,24,20691,58842,8509.05,21915,,,Valentijnsdag,,
11-02-14,21618,dinsdag,6,186,180,22804,66342,9921.1,25050,,,Valentijnsdag,,
12-02-14,32078,woensdag,6,324,144,30619,74778,14681.74,33055,51841,14579,Valentijnsdag,,
13-02-14,115917,donderdag,5,18,102,37655,104615,20016.56,46619,1063195,254905,Valentijnsdag,,
14-02-14,26069,vrijdag,5,66,300,11731,45002,3329.71,10375,191,171,,Valentijnsdag,
15-02-14,,zaterdag,10,168,0,5512,19738,2163.73,5920,,,,,
16-02-14,3106,zondag,6,510,0,9345,22650,2736.71,7555,,,,,
17-02-14,32334,maandag,6,180,0,13353,28675,3342.22,9365,,,,,
18-02-14,18417,dinsdag,6,0,0,13138,35295,3121.39,8793,100659,37512,,,
19-02-14,18668,woensdag,8,84,84,12457,27789,3044.16,8650,,,,,
20-02-14,20030,donderdag,8,12,384,12066,25112,2868.85,7825,,,,,
21-02-14,22511,vrijdag,7,300,216,10621,22148,2514.06,6990,,,,,
22-02-14,,zaterdag,7,186,30,5620,15313,1936.03,4939,,,,,
23-02-14,2836,zondag,8,390,0,9483,20322,2629.5,6777,,,,,
24-02-14,33908,maandag,8,528,0,15221,31749,3182.25,8439,404267,130734,,,
25-02-14,20415,dinsdag,9,144,108,13934,32595,3152.64,8353,586980,118598,,,
26-02-14,21024,woensdag,7,324,6,13356,26971,3063.56,8007,,,,,
27-02-14,22511,donderdag,5,96,252,13689,25469,2752.65,7806,,,,,
28-02-14,25168,vrijdag,5,132,210,12211,22337,2402.88,6918,,,,,
01-03-14,,zaterdag,6,126,240,5684,15028,1933.1,4956,,,,,
02-03-14,2970,zondag,6,558,12,9053,18810,2314.07,6329,,,,,
03-03-14,35399,maandag,5,138,42,17249,34244,3064.81,8264,976052,233768,,,
04-03-14,22575,dinsdag,5,360,0,16082,26376,2973.52,7714,,,,,
05-03-14,23660,woensdag,6,462,0,17015,26229,2974.01,8354,,,,,
06-03-14,19719,donderdag,7,210,0,12083,23616,2656.67,7505,,,,,
07-03-14,23653,vrijdag,8,270,0,10945,22102,2465.27,7087,,,,,
08-03-14,1,zaterdag,9,576,0,5105,13580,1762.05,4604,,,,,
09-03-14,2457,zondag,11,606,0,7889,16744,2041.64,5883,,,,,
10-03-14,31088,maandag,10,642,0,13485,25220,2936.94,8196,83834,23527,,,
11-03-14,20196,dinsdag,9,426,0,14033,32798,2955.22,8077,897744,205009,,,
12-03-14,19773,woensdag,8,630,0,12879,25373,2727.72,7474,,,,,
13-03-14,18938,donderdag,8,630,0,11757,22951,2475.57,7161,,,,,
14-03-14,22517,vrijdag,7,336,0,11190,21405,2392.44,7146,,,,,
15-03-14,,zaterdag,10,240,0,6764,16703,2108.23,5740,,,,,
16-03-14,2661,zondag,11,180,0,11767,22562,2639.84,7731,,,,,
17-03-14,36002,maandag,10,0,0,15265,30224,3108.93,9524,91107,25804,,,
18-03-14,20711,dinsdag,9,12,108,15277,36618,2917.74,8943,886727,213707,,,
19-03-14,19915,woensdag,11,432,0,13813,27270,2628.36,8105,,,,,
20-03-14,19947,donderdag,13,672,0,11733,22995,2409.56,7200,,,,,
21-03-14,24111,vrijdag,8,234,558,12170,23565,2477.83,7978,,,,,
22-03-14,1,zaterdag,7,312,42,6681,16292,1929.38,5664,,,,,
23-03-14,2886,zondag,5,426,42,11441,22112,2579.76,7923,,,,,
24-03-14,38604,maandag,6,558,0,15503,30549,3454.59,10416,60646,16939,,,
25-03-14,23419,dinsdag,5,456,0,18819,39807,3284.7,10009,1024549,238866,,,
26-03-14,24807,woensdag,5,192,0,16851,32305,3287.46,9459,,,,,
27-03-14,23801,donderdag,9,492,0,14966,28992,3325.03,8802,,,,,
28-03-14,28083,vrijdag,11,672,0,12266,24237,2768.35,7284,,,,,
29-03-14,,zaterdag,12,618,0,5908,15483,1898.06,4582,,,,,
30-03-14,2430,zondag,12,354,0,9669,19851,2349.66,6427,,,,,
